frame,time,id1,id2,type1,type2,distance(m),TTC(s),PET(s),conflict_type,risk_level,x,y
101,10.1,468,536,motor,non_motor,1.3,0.37,0.0,直角交叉冲突,一般,323,368
102,10.2,404,468,non_motor,motor,1.89,0.52,0.0,直角交叉冲突,一般,371,382
102,10.2,468,536,motor,non_motor,1.33,0.36,0.0,直角交叉冲突,一般,323,373
103,10.3,404,468,non_motor,motor,1.83,0.58,0.0,直角交叉冲突,一般,371,387
103,10.3,468,536,motor,non_motor,1.46,0.46,0.0,直角交叉冲突,一般,324,378
104,10.4,404,468,non_motor,motor,1.86,0.59,0.0,直角交叉冲突,一般,371,392
104,10.4,462,544,motor,non_motor,1.71,1.05,0.0,斜向交叉冲突,一般,453,266
105,10.5,404,468,non_motor,motor,1.94,0.62,0.0,直角交叉冲突,一般,371,396
114,11.4,512,528,motor,non_motor,1.47,0.51,0.0,直行-横穿冲突,一般,338,347
119,11.9,512,536,motor,non_motor,1.27,0.4,0.0,直角交叉冲突,一般,322,369
120,12.0,404,512,non_motor,motor,1.95,0.62,0.0,直角交叉冲突,一般,370,383
121,12.1,404,512,non_motor,motor,1.93,0.64,0.0,直角交叉冲突,一般,370,387
122,12.2,404,512,non_motor,motor,1.96,0.65,0.0,直角交叉冲突,一般,370,392
